regime,n_rows,n_engines,share_of_rows,MAE,RMSE,PHM_score_mean,PR_AUC_h10,PR_AUC_h20,PR_AUC_h30,mean_anomaly_percentile,anomaly_alert_rate_at_deployed_threshold
0,6054,248,0.14689183287232493,6.785284782761867,12.671136458200895,17.018912253237232,0.18571428571428572,0.6837669928084672,0.8433709937517403,0.313153313463026,0.01288404360753221
1,6232,248,0.15121075362740816,6.674402170217226,12.213598633490996,9.213174578934545,0.5490366776081061,0.7393895669900243,0.8289083951506147,0.36215645859419926,0.0139602053915276
2,6107,248,0.14817780365895084,6.78892697595037,11.913129391570186,7.670636545524485,0.2037037037037037,0.789808451350445,0.8453294063918009,0.44293924937039403,0.0129359751105289
3,6254,248,0.15174455282185664,6.553906226635066,12.06032148089706,9.283935570357029,0.45020041686708356,0.7823893588546528,0.840922297460706,0.4234916025570007,0.015030380556443877
4,6185,248,0.15007036443926822,6.692357520198524,12.208530293792759,7.846552335967388,0.76,0.8162940687972354,0.8563196254307166,0.4351349861657057,0.012287793047696038
5,10382,248,0.2519046925801912,6.668547051619726,12.082713381567824,10.33976060209443,0.36907246597314797,0.7105711075522185,0.8141937589037089,0.37559115655821496,0.01425544211134656
