slice_type,slice,n_rows,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
observed sequence length,"sequence length (117.333, 195.667]",12647,8.65937467457619,13.545880510121806,0.8045934006789754,48145.78704693005,3.8068938915893136,0.9949602109569738,0.29548509527951294
observed sequence length,"sequence length (18.999, 117.333]",6195,6.431523300814679,11.602651485461305,0.47920648993361803,17371.49686612193,2.8041157168881248,-0.35431365169997103,0.17433414043583534
observed sequence length,"sequence length (195.667, 486.0]",22372,5.64937347477072,11.50446093096883,0.7604533735226865,355716.3460533999,15.900069106624347,-3.332854097632443,0.12108886107634544
RUL region,near-failure,811,5.317035197060344,7.127408503257816,-0.5160656652055842,760.8412026598662,0.9381519145004515,3.6071210430744975,0.689272503082614
RUL region,mid-life,4187,14.035933330836999,18.592763553578582,-0.7261575360887522,41094.702158257525,9.814832137152502,11.110591180504056,0.7523286362550752
RUL region,early-life,36216,5.872145276520104,11.30312107628608,-0.3002624855986027,379378.0866055344,10.475427617780385,-3.1372803069153243,0.10539540534570356
