source_model,source_role,target_test_set,dedicated,rul_cap_used,MAE,RMSE,PHM_score_mean,PR_AUC_h10,PR_AUC_h20,PR_AUC_h30
FD004,"Bonus - combined challenge (6 conditions, 2 faults)",FD004,True,125,6.690594985574868,12.18138093505535,10.2206441977593,0.35306526953277867,0.7386792379044316,0.833680479120938
FD002,"Stage 2 alternative - condition shift (6 conditions, 1 fault)",FD004,False,110,7.477397411776688,12.273083215272926,4.803886599223214,0.009325657697866965,0.22459667116936333,0.26004602115862463
FD003,"Stage 2 - multi-fault (1 condition, 2 faults)",FD004,False,125,34.31643426934008,42.21665749598484,103.37331721293441,0.0010504381045703581,0.009270430172177671,0.02146948640454027
FD001,"Stage 1 - foundation (1 condition, 1 fault)",FD004,False,130,42.35091502691095,46.18552568174769,62.659009230194705,0.001264984365458479,0.009107956067506027,0.021150166686762693
