variant,question,n_features,rul_cap,test_MAE,test_RMSE,test_PHM_mean,interval_coverage,interval_width,PR_AUC_h10,PR_AUC_h20,PR_AUC_h30,policy_avg_cost,policy_miss_rate,policy_mean_lead_time,delta_test_MAE,delta_PR_AUC_h20,delta_policy_cost
full model (reference),-,277,125,6.690594985574868,12.18138093505535,10.2206441977593,0.9125054593099432,31.3802791951354,0.35306526953277867,0.7386792379044316,0.833680479120938,31.275,0.0,51.275,0.0,0.0,0.0
no_op_settings,Do the three operating settings carry information beyond what the sensors already show?,268,125,6.657852144021382,12.12886074109737,10.264386952505918,0.8964672198767409,31.861785544252754,0.3533131980408858,0.7320165946287238,0.8293927012401318,30.05,0.0,50.05,-0.03274284155348628,-0.006662643275707758,-1.2249999999999979
no_trend_features,"Are slope / EWM / diff / drift features earning their place, or do rolling means suffice?",182,125,9.256900588735165,15.23544230980985,12.81474023820643,0.8988935798515068,36.41683187637242,0.33672811175611345,0.6811944137041299,0.7687478807033864,31.25,0.0,51.25,2.5663056031602975,-0.057484824200301654,-0.02499999999999858
short_window,How much does the trailing window length matter?,277,125,6.43760556242634,11.861584435052663,11.038121283962685,0.9197117484349978,32.20916967125026,0.3345187658865528,0.714651241837109,0.8282291034791293,32.55,0.0,52.55,-0.2529894231485281,-0.024027996067322532,1.2749999999999986
global_scaling,Does regime-aware normalisation beat one global scaler? (only meaningful for 6-condition subsets),277,125,9.739665976050103,15.404213441134864,11.777087241686115,0.8976076090648809,51.432318672259086,0.3105515486513291,0.6967935629151492,0.7350600376672103,90.15,0.0,110.15,3.0490709904752356,-0.04188567498928242,58.87500000000001
