subset,n_conditions,n_fault_modes,tag,role,n_features,rul_cap,rul_model,test_MAE,test_RMSE,test_PHM_mean,interval_coverage,interval_width,PR_AUC_h10,PR_AUC_h20,PR_AUC_h30,anomaly_detector,policy_avg_cost,policy_miss_rate,policy_mean_lead_time,runtime_s
FD001,1,1,-,"Stage 1 - foundation (1 condition, 1 fault)",201,130,hgb_window,8.213866816013114,12.209068282609211,2.377302303735857,0.9328802687843616,36.857853582783626,0.6952932800802982,0.8840707397058306,0.9339655695023561,isolation_forest,31.3125,0.0,51.3125,65.2
FD002,6,1,-,"Stage 2 alternative - condition shift (6 conditions, 1 fault)",277,110,hgb_window,5.987935380974297,9.64375211791456,1.3453726393772,0.9179488688182166,28.7755073161304,0.6869431951742508,0.8806930475298851,0.9414519576143434,ocsvm,38.716981132075475,0.0,58.716981132075475,184.2
FD003,1,2,-,"Stage 2 - multi-fault (1 condition, 2 faults)",229,125,hgb_window,5.2147106386284285,9.386313678609683,1.7685436443310296,0.933357435526633,27.725643462675883,0.6462536202426042,0.9011733023024358,0.9476077662472846,lof,32.785714285714285,0.0,52.785714285714285,73.7
FD004,6,2,-,"Bonus - combined challenge (6 conditions, 2 faults)",277,125,hgb_window,6.690594985574868,12.18138093505535,10.2206441977593,0.9125054593099432,31.3802791951354,0.35306526953277867,0.7386792379044316,0.833680479120938,ocsvm,31.275,0.0,51.275,200.5
