variant,question,n_features,rul_cap,test_MAE,test_RMSE,test_PHM_mean,interval_coverage,interval_width,PR_AUC_h10,PR_AUC_h20,PR_AUC_h30,policy_avg_cost,policy_miss_rate,policy_mean_lead_time,delta_test_MAE,delta_PR_AUC_h20,delta_policy_cost
full model (reference),-,201,130,8.213866816013114,12.209068282609211,2.377302303735857,0.9328802687843616,36.857853582783626,0.6952932800802982,0.8840707397058306,0.9339655695023561,31.3125,0.0,51.3125,0.0,0.0,0.0
no_op_settings,Do the three operating settings carry information beyond what the sensors already show?,198,130,8.220752001110952,12.186015954979652,2.360475222542984,0.9414324984728162,36.91209992096016,0.7058725588137352,0.8811680893663759,0.9359184048311967,31.75,0.0,51.75,0.006885185097837976,-0.002902650339454693,0.4375
no_trend_features,"Are slope / EWM / diff / drift features earning their place, or do rolling means suffice?",131,130,10.690507078674493,16.226456348780125,5.323346908281822,0.9287568723274282,42.5108623310587,0.8818436465495288,0.8781935721474575,0.9034863080214135,35.5,0.0,55.5,2.4766402626613786,-0.0058771675583730865,4.1875
short_window,How much does the trailing window length matter?,201,130,7.736458796295862,11.750329403465038,2.3544796021917995,0.9334911423335369,36.9585761555859,0.8368102569245943,0.9057023057920888,0.9188161347065368,32.6875,0.0,52.6875,-0.47740801971725233,0.021631566086258158,1.375
