horizon,metric,point,ci_low,ci_high,boot_std,n_boot
10,PR_AUC,0.35306526953277867,0.17523979277906798,0.7501711953073279,0.14820635102732288,400
10,recall,0.975609756097561,0.8888888888888888,1.0,0.029918164626180088,400
10,precision,0.22727272727272727,0.12401570449015704,0.3386612682297961,0.055752668559990906,400
10,brier,0.0008941106254603803,0.00040039164695266933,0.0015907303224529476,0.0002943460285633764,400
20,PR_AUC,0.7386792379044316,0.5775361612036037,0.9003066733835872,0.08518995086731426,400
20,recall,0.9572192513368984,0.9189658746021171,0.9894330294221283,0.018573092170334992,400
20,precision,0.5399698340874811,0.440262463481293,0.6455726506086685,0.05018801221763465,400
20,brier,0.0033922125970516854,0.00223196573160511,0.004720129986511219,0.0006547353381934475,400
30,PR_AUC,0.833680479120938,0.7281978107651392,0.9159899169374904,0.05326015915648613,400
30,recall,0.9849537037037037,0.9694597768643569,0.9949049435804584,0.006333185956087345,400
30,precision,0.5392902408111534,0.4582700894066975,0.608918088746612,0.03940847651730169,400
30,brier,0.006410751026706247,0.004531967438195541,0.008667691009396895,0.0010688826962813155,400
