variant,brier,ECE,mean_pred,base_rate,horizon,model
uncalibrated,0.030128668152093432,0.040440181022880224,0.08266991075260995,0.04222972972972973,10,logreg_current
calibrated,0.01373813582057362,0.0,0.04222972972972973,0.04222972972972973,10,logreg_current
uncalibrated,0.01320976717224101,0.013989994068541272,0.056219723798271004,0.04222972972972973,10,logreg_window
calibrated,0.00895558716947864,8.169254698498478e-18,0.04222972972972973,0.04222972972972973,10,logreg_window
uncalibrated,0.009081641778260966,0.00018870161216062527,0.04241843134189035,0.04222972972972973,10,hgb_window
calibrated,0.008448494223564296,6.865015426633851e-18,0.042229729729729736,0.04222972972972973,10,hgb_window
uncalibrated,0.03508449238335436,0.04864326657262007,0.12926365969301318,0.08062039312039312,20,logreg_current
calibrated,0.018971187089935324,0.0,0.08062039312039312,0.08062039312039312,20,logreg_current
uncalibrated,0.01606448815456695,0.013770422179566345,0.09439081529995948,0.08062039312039312,20,logreg_window
calibrated,0.013592438446428625,0.0,0.08062039312039312,0.08062039312039312,20,logreg_window
uncalibrated,0.013579649931505058,0.0042375008142003035,0.08155033486973032,0.08062039312039312,20,hgb_window
calibrated,0.012379092401992326,1.1418764446850531e-17,0.08062039312039312,0.08062039312039312,20,hgb_window
uncalibrated,0.04032894861049815,0.05486392138756672,0.17387497789862322,0.1190110565110565,30,logreg_current
calibrated,0.025514415369195253,1.1521224216037813e-17,0.1190110565110565,0.1190110565110565,30,logreg_current
uncalibrated,0.02087638001180131,0.018583354197395194,0.13759441070845171,0.1190110565110565,30,logreg_window
calibrated,0.017545006007580098,0.0,0.1190110565110565,0.1190110565110565,30,logreg_window
uncalibrated,0.017449656289763027,0.00884074284986745,0.12075767325448504,0.1190110565110565,30,hgb_window
calibrated,0.01609079650068672,1.456276205503421e-17,0.1190110565110565,0.1190110565110565,30,hgb_window
