region,true_RUL_range,n_rows,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
near-failure,"[0, 30)",811,5.317035197060344,7.127408503257816,-0.5160656652055842,760.8412026598662,0.9381519145004515,3.6071210430744975,0.689272503082614
mid-life,"[30, 80)",4187,14.035933330836999,18.592763553578582,-0.7261575360887522,41094.702158257525,9.814832137152502,11.110591180504056,0.7523286362550752
early-life,"[80, inf)",36216,5.872145276520104,11.30312107628608,-0.3002624855986027,379378.0866055344,10.475427617780385,-3.1372803069153243,0.10539540534570356
