detector,alert_threshold_val_percentile,mean_norm_score_RUL>100,mean_norm_score_RUL<=30,separation,miss_rate,mean_lead_time,median_lead_time,false_alert_rate_per_healthy_cycle,avg_cost_per_engine,n_engines_at_risk
ocsvm,0.9,0.35099957834323503,0.8212322170655504,0.47023263872231535,0.525,22.36842105263158,17.0,0.010577864838393732,116.625,40
lof,0.9,0.36083068076520175,0.8092202642983892,0.4483895835331875,0.6,24.75,19.0,0.010504407443682664,129.85,40
isolation_forest,0.925,0.36267451646811943,0.7968832350342767,0.4342087185661573,0.65,68.07142857142857,26.0,0.014936336924583741,151.775,40
pca_recon,0.95,0.41283222163829325,0.7407152062099978,0.3278829845717045,0.775,87.55555555555556,24.0,0.012585700293829579,172.6,40
