method,set,nominal_coverage,split_conformal_q_cycles,cqr_correction_cycles,coverage,mean_width,median_width,lower_violation_rate,upper_violation_rate
"split conformal (|residual|, constant width)",validation (used for calibration),0.9,19.67,0.02,0.9001330876330876,38.651205644767025,39.34957335171913,0.040335790335790336,0.059531122031122034
"split conformal (|residual|, constant width)",test (held out),0.9,19.67,0.02,0.9002766050371233,39.30795607845459,39.34957335171913,0.04957053428446644,0.05015286067841025
"split conformal (|residual|, constant width)","test, last cycle only",0.9,19.67,0.02,0.8629032258064516,38.33902860820243,39.34957335171913,0.07661290322580645,0.06048387096774194
CQR (adaptive width) -- DEPLOYED,validation (used for calibration),0.9,19.67,0.02,0.9047399672399672,36.517101555300144,35.10957588619368,0.04350941850941851,0.05175061425061425
CQR (adaptive width) -- DEPLOYED,test (held out),0.9,19.67,0.02,0.9125054593099432,31.3802791951354,28.663504958772393,0.04100548357354297,0.046489057116513806
CQR (adaptive width) -- DEPLOYED,"test, last cycle only",0.9,19.67,0.02,0.8629032258064516,42.542673564793716,43.72284536849952,0.09274193548387097,0.04435483870967742
