cap,selected,n_eval_rows,eval_region,MAE_near,RMSE_near,R2_near,PHM_score_total_near,PHM_score_mean_near,bias_mean_error_near,late_fraction_near,frac_val_rows_on_the_cap
60,False,2418,"true RUL <= 30, uncapped truth",5.33689248086988,6.7836118329254536,0.4247826312524222,2064.7075967527962,0.8538906520896593,3.5766635467616434,0.7080231596360629,0.712671905697446
70,False,2418,"true RUL <= 30, uncapped truth",5.7353766184253985,7.352868127656646,0.32419162871613805,2327.7347381900713,0.9626694533457698,3.296579653181048,0.6534325889164598,0.6647838899803536
80,False,2418,"true RUL <= 30, uncapped truth",6.106653009863049,7.921862677487902,0.21555114648780271,2608.8124690348104,1.0789133453411126,2.8629416168989357,0.58767576509512,0.6168958742632613
90,False,2418,"true RUL <= 30, uncapped truth",6.536846142870193,8.479295995625346,0.10126924273214943,2921.460911008368,1.2082137762648337,2.367498964963379,0.5256410256410257,0.569007858546169
110,True,2418,"true RUL <= 30, uncapped truth",7.3725201683593475,9.461988580855989,-0.11911534880311403,3519.846718262679,1.4556851605718275,1.3179490096164967,0.44747725392886684,0.4732318271119843
125,False,2418,"true RUL <= 30, uncapped truth",7.966529162924877,10.141467766331125,-0.28561710569416543,3942.9500996208926,1.6306658807365146,0.5455794478080546,0.4052936311000827,0.4013998035363458
130,False,2418,"true RUL <= 30, uncapped truth",8.148918578370909,10.360994368452074,-0.3418775537886949,4091.765947160819,1.6922108962617117,0.3159486488038009,0.39536807278742764,0.37745579567779963
150,False,2418,"true RUL <= 30, uncapped truth",8.75147318765652,11.13712986623337,-0.5504457707168413,4721.391937526782,1.9526021247009027,-0.4109807905875741,0.36352357320099254,0.2838285854616896
