model,metric,point,ci_low,ci_high,boot_std,n_boot
hgb_window,MAE,5.987935380974297,5.549100767526441,6.454988249080413,0.23776218500145416,400
hgb_window,RMSE,9.64375211791456,8.961030006977133,10.274705737419733,0.34513006656071216,400
hgb_window,PHM_mean,1.3453726393772,1.1570187614189336,1.5880729653931818,0.11368183186605656,400
gbr_window,MAE,6.584296849825358,6.131243122545499,7.039240916899351,0.2273084030280462,400
gbr_window,RMSE,10.036231928688522,9.39252882375321,10.600348301994886,0.3169473525550222,400
gbr_window,PHM_mean,1.4911462169088057,1.2870466151491777,1.7151711397672962,0.11585527206183147,400
rf_window,MAE,7.397570304961637,6.807779816593622,8.050554930656398,0.3014527692232934,400
rf_window,RMSE,10.881615894893427,10.055380682903438,11.73034811702753,0.42325630533651276,400
rf_window,PHM_mean,1.779288253917959,1.47329826333981,2.171578465035323,0.17526132157208615,400
ridge_window,MAE,7.960095441945248,7.475173042303904,8.472325223342192,0.2557588012008987,400
ridge_window,RMSE,11.277506394123552,10.72257396156438,11.845666785547158,0.2994884331386398,400
ridge_window,PHM_mean,1.7195668161221052,1.4899467905355457,2.013452280068606,0.13015087629303407,400
rf_current,MAE,8.3400301077926,7.598036932795019,9.157199952248401,0.38209793220778726,400
rf_current,RMSE,13.372514289817444,12.242250145427537,14.52623134407789,0.5712627016241151,400
rf_current,PHM_mean,2.9536943257594492,2.34605965954117,3.675130022071969,0.35045742160423576,400
poly2_ridge_current,MAE,10.397328677293698,9.708503888645152,11.158832812209184,0.3777044450749215,400
poly2_ridge_current,RMSE,14.866337013730616,13.975515285507642,15.762363551965311,0.4604394039321082,400
poly2_ridge_current,PHM_mean,3.969643632535248,3.01666022359534,5.326535320023315,0.5917378254623278,400
ridge_current,MAE,11.856920452425378,10.989819681838828,12.781110769397774,0.456265275926366,400
ridge_current,RMSE,16.53575176875666,15.529546115007594,17.49962295251829,0.4966201162185562,400
ridge_current,PHM_mean,4.049086949187327,3.276776321914401,5.117573407065164,0.4582313862561282,400
