detector,alert_threshold_val_percentile,mean_norm_score_RUL>100,mean_norm_score_RUL<=30,separation,miss_rate,mean_lead_time,median_lead_time,false_alert_rate_per_healthy_cycle,avg_cost_per_engine,n_engines_at_risk
ocsvm,0.9,0.3723018872731219,0.8590651732476869,0.48676328597456503,0.41509433962264153,29.838709677419356,28.0,0.018514647475139607,92.73584905660377,53
lof,0.9,0.3823879284563079,0.8524988003426818,0.47011087188637385,0.4339622641509434,29.7,27.0,0.018902857825424793,96.35849056603773,53
isolation_forest,0.925,0.380965126237268,0.825446358373563,0.4444812321362949,0.5660377358490566,30.0,27.0,0.01737987875892137,119.81132075471699,53
pca_recon,0.925,0.45686503479889806,0.7354842029305074,0.27861916813160936,0.22641509433962265,145.09756097560975,167.0,0.04864574312419745,147.03773584905662,53
