alert_source,n_engines_at_risk,miss_rate,mean_lead_time,median_lead_time,mean_late_delay,mean_early_burden,cost_component_miss,cost_component_late,cost_component_early,avg_cost_per_engine,false_alert_rate_per_healthy_cycle
classifier_h20,53,0.0,24.11320754716981,24.0,0.3584905660377358,4.471698113207547,0.0,1.792452830188679,4.471698113207547,6.264150943396227,0.011317824827545018
classifier_h30,53,0.0,37.18867924528302,36.0,0.0,17.18867924528302,0.0,0.0,17.18867924528302,17.18867924528302,0.038014751993310836
decision_policy_STOP,53,0.11320754716981132,19.06382978723404,18.0,2.30188679245283,1.471698113207547,22.641509433962266,11.50943396226415,1.471698113207547,35.62264150943396,0.0040911398453131066
decision_policy_INSPECT_or_STOP,53,0.0,58.716981132075475,54.0,0.0,38.716981132075475,0.0,0.0,38.716981132075475,38.716981132075475,0.10105414041269746
classifier_h10,53,0.22641509433962265,15.365853658536585,15.0,3.9245283018867925,0.33962264150943394,45.28301886792453,19.62264150943396,0.33962264150943394,65.24528301886792,0.0012542180547675218
anomaly_ocsvm,53,0.41509433962264153,29.838709677419356,28.0,0.660377358490566,6.415094339622642,83.01886792452831,3.30188679245283,6.415094339622642,92.73584905660377,0.018514647475139607
