view,n,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
last cycle per test engine (official benchmark view),259,6.924712390574527,9.839734623881682,0.9349501729519398,377.42897568375923,1.4572547323697267,-0.8684101492152682,0.3590733590733591
all test rows,33991,5.987935380974297,9.64375211791456,0.8307399533715021,45730.56138507041,1.3453726393772,-2.1849757990925327,0.17792945191374188
