method,set,nominal_coverage,split_conformal_q_cycles,cqr_correction_cycles,coverage,mean_width,median_width,lower_violation_rate,upper_violation_rate
"split conformal (|residual|, constant width)",validation (used for calibration),0.9,17.24,0.05,0.900171905697446,33.74033379277961,34.48297991186084,0.05519400785854617,0.04463408644400786
"split conformal (|residual|, constant width)",test (held out),0.9,17.24,0.05,0.9037098055367597,34.43116834872857,34.48297991186084,0.037098055367597305,0.059192139095642964
"split conformal (|residual|, constant width)","test, last cycle only",0.9,17.24,0.05,0.8996138996138996,33.24341795177655,34.48297991186084,0.05405405405405406,0.04633204633204633
CQR (adaptive width) -- DEPLOYED,validation (used for calibration),0.9,17.24,0.05,0.9054518664047151,31.80560018132748,30.312448414457606,0.04702848722986248,0.0475196463654224
CQR (adaptive width) -- DEPLOYED,test (held out),0.9,17.24,0.05,0.9179488688182166,28.7755073161304,27.209534302255946,0.02847812656291371,0.0535730046188697
CQR (adaptive width) -- DEPLOYED,"test, last cycle only",0.9,17.24,0.05,0.9266409266409267,34.02142933175356,33.87775991193418,0.06177606177606178,0.011583011583011582
