region,true_RUL_range,n_rows,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
near-failure,"[0, 30)",1026,4.261586299506819,5.711597659847001,0.06542974235210774,646.2031504331633,0.6298276320011338,1.642029952153693,0.5779727095516569
mid-life,"[30, 80)",4684,11.349746675260093,14.645570972675594,-0.08421600993297518,19860.98080526096,4.240175235965192,6.394331170665068,0.6692997438087105
early-life,"[80, inf)",28281,5.162522915189881,8.664335793589126,-0.7839676746675461,25223.377429376276,0.8918842130538622,-3.7447502677153977,0.08203387433259078
