variant,brier,ECE,mean_pred,base_rate,horizon,model
uncalibrated,0.034915536321485856,0.04704845622227449,0.09972527351107606,0.052676817288801574,10,logreg_current
calibrated,0.014804536006517115,0.0,0.052676817288801574,0.052676817288801574,10,logreg_current
uncalibrated,0.011668757611462171,0.009513154688749517,0.06218997197755109,0.052676817288801574,10,logreg_window
calibrated,0.00828167916082804,1.6154399363713291e-18,0.052676817288801574,0.052676817288801574,10,logreg_window
uncalibrated,0.009650387472179675,9.182994831955186e-05,0.05276864723712112,0.052676817288801574,10,hgb_window
calibrated,0.008675077794840716,2.017595869898369e-18,0.052676817288801574,0.052676817288801574,10,hgb_window
uncalibrated,0.03699696022782601,0.05043482360669427,0.15099965661258816,0.1005648330058939,20,logreg_current
calibrated,0.02133182786907483,4.2884163164525186e-20,0.1005648330058939,0.1005648330058939,20,logreg_current
uncalibrated,0.014723684299013905,0.012460883058082633,0.11302571606397654,0.1005648330058939,20,logreg_window
calibrated,0.01102321767877956,0.0,0.1005648330058939,0.1005648330058939,20,logreg_window
uncalibrated,0.014738869559680366,0.011337020814709806,0.10116668305725102,0.1005648330058939,20,hgb_window
calibrated,0.012649264950951165,0.0,0.1005648330058939,0.1005648330058939,20,hgb_window
uncalibrated,0.04388272380855689,0.055338971721185216,0.20379182044417146,0.14845284872298625,30,logreg_current
calibrated,0.029280303837552788,0.0,0.14845284872298625,0.14845284872298625,30,logreg_current
uncalibrated,0.017530857580431096,0.016278943986431045,0.1647317927094173,0.14845284872298625,30,logreg_window
calibrated,0.013176019219819396,2.224526934174129e-17,0.14845284872298625,0.14845284872298625,30,logreg_window
uncalibrated,0.017695495505951696,0.005487918906193408,0.14497109738022565,0.14845284872298625,30,hgb_window
calibrated,0.015778526348394016,0.0,0.14845284872298625,0.14845284872298625,30,hgb_window
