horizon,metric,point,ci_low,ci_high,boot_std,n_boot
10,PR_AUC,0.6869431951742508,0.5881014175683128,0.8024870330042457,0.054967037127563054,400
10,recall,0.9852941176470589,0.9459084084084084,1.0,0.015738954624956364,400
10,precision,0.19881305637982197,0.1433563748079877,0.2592755751346059,0.031143663674292558,400
10,brier,0.0011393270840272174,0.0007997217773960487,0.001567465843168938,0.00019440403328334712,400
20,PR_AUC,0.8806930475298851,0.8285265053972942,0.9180808722008804,0.023426006440412914,400
20,recall,0.9920634920634921,0.9827552922380508,0.9983027056437369,0.003920518043336561,400
20,precision,0.5688282138794084,0.5150205065425636,0.6203043395533159,0.027891606041703414,400
20,brier,0.0036953684961028763,0.0028505156529643246,0.00455416704808825,0.000452468906409779,400
30,PR_AUC,0.9414519576143434,0.9219992517048357,0.9559445767575776,0.009180774898071202,400
30,recall,0.985280588776449,0.9720918699016503,0.996449379876238,0.006222958137928574,400
30,precision,0.602701181767023,0.5524210501728487,0.6433088016651798,0.024276817885581344,400
30,brier,0.005961518041991914,0.004799853509488414,0.007299413220016694,0.0006368623920486017,400
