detector,design_choice,fit_rows,fit_seconds,score_ms_per_1k_rows,val_threshold_p99
isolation_forest,"contamination=0.02, fit on healthy head rows",2100,0.28,9.007,0.1395
lof,"novelty=True, n_neighbors=35",2100,0.058,25.958,4.8288
ocsvm,"rbf kernel, nu=0.05, gamma='scale', whitened PCA input",2100,0.008,5.378,4.3301
pca_recon,k=12 components (95% healthy variance),2100,0.0,0.344,0.9521
