region,true_RUL_range,n_rows,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
near-failure,"[0, 30)",271,2.9250512153925547,3.8741509286382056,0.5871631646098732,99.56793376545824,0.3674093496880378,1.4757337614725738,0.6494464944649446
mid-life,"[30, 80)",1756,10.573558663329411,15.76798719123332,-0.29767487779762747,13889.199862503665,7.909567119876803,8.138941921726728,0.6941913439635535
early-life,"[80, inf)",14569,4.611399537820001,8.373426247804709,0.3707500139094049,15361.982525048646,1.0544294409395736,-1.7951934255179711,0.11730386436955179
