detector,alert_threshold_val_percentile,mean_norm_score_RUL>100,mean_norm_score_RUL<=30,separation,miss_rate,mean_lead_time,median_lead_time,false_alert_rate_per_healthy_cycle,avg_cost_per_engine,n_engines_at_risk
lof,0.9,0.34525377055110784,0.8701422469735003,0.5248884764223924,0.21428571428571427,38.72727272727273,38.0,0.019303144348670632,59.285714285714285,14
ocsvm,0.9,0.36239948015120194,0.8825637646853057,0.5201642845341038,0.21428571428571427,39.45454545454545,39.0,0.02045647687264781,59.42857142857143,14
isolation_forest,0.925,0.3704514372637197,0.8794200012322638,0.5089685639685442,0.35714285714285715,41.77777777777778,38.0,0.016571567318198373,88.42857142857143,14
pca_recon,0.95,0.39368553708866827,0.8677557295300107,0.4740701924413424,0.5714285714285714,29.833333333333332,26.0,0.005402452349156246,121.92857142857143,14
