detector,val_percentile_threshold,n_engines_at_risk,miss_rate,mean_lead_time,median_lead_time,mean_late_delay,mean_early_burden,cost_component_miss,cost_component_late,cost_component_early,avg_cost_per_engine,false_alert_rate_per_healthy_cycle
lof,0.8,14,0.21428571428571427,68.81818181818181,66.0,0.0,38.357142857142854,42.857142857142854,0.0,38.357142857142854,81.21428571428571,0.0678038120675003
lof,0.9,14,0.21428571428571427,38.72727272727273,38.0,0.2857142857142857,15.0,42.857142857142854,1.4285714285714284,15.0,59.285714285714285,0.019303144348670632
lof,0.95,14,0.42857142857142855,22.125,22.5,1.7857142857142858,3.0,85.71428571428571,8.928571428571429,3.0,97.64285714285714,0.0031564890129901664
lof,0.975,14,0.8571428571428571,20.5,20.5,0.7142857142857143,0.7857142857142857,171.42857142857142,3.5714285714285716,0.7857142857142857,175.78571428571428,0.000849823965035814
lof,0.99,14,0.9285714285714286,15.0,15.0,0.35714285714285715,0.0,185.71428571428572,1.7857142857142858,0.0,187.5,6.070171178827243e-05
lof,0.995,14,0.9285714285714286,9.0,9.0,0.7857142857142857,0.0,185.71428571428572,3.9285714285714284,0.0,189.64285714285714,0.0
