horizon,metric,point,ci_low,ci_high,boot_std,n_boot
10,PR_AUC,0.6462536202426042,,,,400
10,recall,0.9444444444444444,0.726948051948052,1.0,0.09062740135881377,400
10,precision,0.3953488372093023,0.16666666666666666,0.6364545454545454,0.11738613075686527,400
10,brier,0.0006234043682660062,0.00012635545306325012,0.0011378488172714021,0.00025580053545261794,400
20,PR_AUC,0.9011733023024358,0.8314945865572634,0.9607926096219933,0.037220966911937506,400
20,recall,1.0,1.0,1.0,0.0,400
20,precision,0.5083333333333333,0.38148912744288466,0.6,0.05838771054885508,400
20,brier,0.0017561524351477934,0.0008806158499664005,0.0027119401382173086,0.0004655950954830002,400
30,PR_AUC,0.9476077662472846,0.9137640212271281,0.9723434458498538,0.01652338824809093,400
30,recall,0.993127147766323,0.9763756185615139,1.0,0.00727513006630081,400
30,precision,0.6523702031602708,0.5485794274275786,0.7288611114440143,0.04756659835638608,400
30,brier,0.003523971808167948,0.0021583549866844762,0.005010471746502708,0.0007121513019385757,400
