variant,brier,ECE,mean_pred,base_rate,horizon,model
uncalibrated,0.016974401545437633,0.020571629056187566,0.06828707150847213,0.04771544245228456,10,logreg_current
calibrated,0.009364566914654331,2.913613056238663e-18,0.04771544245228456,0.04771544245228456,10,logreg_current
uncalibrated,0.006119617832139787,0.003153423643737403,0.05086886609602196,0.04771544245228456,10,logreg_window
calibrated,0.005275306086363737,1.3805549467577135e-18,0.04771544245228456,0.04771544245228456,10,logreg_window
uncalibrated,0.007231311395454715,0.005783261812053708,0.04215492324983643,0.04771544245228456,10,hgb_window
calibrated,0.005618009061895959,1.5009521804865839e-18,0.04771544245228456,0.04771544245228456,10,hgb_window
uncalibrated,0.02253668180785923,0.02893145294073031,0.12002457034963719,0.09109311740890688,20,logreg_current
calibrated,0.01254983146051458,0.0,0.09109311740890688,0.09109311740890688,20,logreg_current
uncalibrated,0.00887607547051924,0.006559529619480927,0.09641925131049263,0.09109311740890688,20,logreg_window
calibrated,0.007182342981096547,0.0,0.09109311740890688,0.09109311740890688,20,logreg_window
uncalibrated,0.009609649843445311,0.0023878364009269123,0.0887951098396922,0.09109311740890688,20,hgb_window
calibrated,0.008596983905475553,0.0,0.09109311740890688,0.09109311740890688,20,hgb_window
uncalibrated,0.03114898072687469,0.03954279446352968,0.17401358682905887,0.1344707923655292,30,logreg_current
calibrated,0.019498015061366888,1.8003399683590412e-17,0.1344707923655292,0.1344707923655292,30,logreg_current
uncalibrated,0.01368072613605885,0.005900777324993977,0.14010035350527864,0.1344707923655292,30,logreg_window
calibrated,0.011440110499174466,0.0,0.1344707923655292,0.1344707923655292,30,logreg_window
uncalibrated,0.014880189628114838,0.007647300796209296,0.12757974312156256,0.1344707923655292,30,hgb_window
calibrated,0.011783837285540411,0.0,0.1344707923655292,0.1344707923655292,30,hgb_window
