model,metric,point,ci_low,ci_high,boot_std,n_boot
hgb_window,MAE,5.2147106386284285,4.437213155419537,6.00219369340163,0.3876851550462615,400
hgb_window,RMSE,9.386313678609683,8.124475292444808,10.648180778572625,0.6398919005631883,400
hgb_window,PHM_mean,1.7685436443310296,1.1068843605878032,2.624444583427488,0.40638170921688244,400
gbr_window,MAE,5.862539096252212,5.138635041826583,6.548941202428126,0.3531926021099565,400
gbr_window,RMSE,9.53950302387483,8.386338026459896,10.728605999495816,0.5946025433511227,400
gbr_window,PHM_mean,1.7623961852999028,1.1566598188605501,2.516239121085095,0.3492785798275569,400
rf_window,MAE,5.9799358879309805,5.172122681573946,6.851276318478749,0.4299113242767631,400
rf_window,RMSE,9.926695052640886,8.512057205747018,11.30741574177548,0.699427248808007,400
rf_window,PHM_mean,2.0602605672820737,1.2990699806816746,3.069293144452401,0.4751845715689858,400
rf_current,MAE,7.922016682443794,6.900130699212184,8.934851952496553,0.5231606673662822,400
rf_current,RMSE,13.20604075437649,11.581950410650139,14.794121774942582,0.817143521179113,400
rf_current,PHM_mean,4.5557419302753335,2.6066114942690075,7.133593670872202,1.150718428775365,400
ridge_window,MAE,8.89969607292918,7.851622557914312,9.859777808352277,0.5201701271083937,400
ridge_window,RMSE,12.669964816711252,11.41026539456633,13.722902031979688,0.5717747985932793,400
ridge_window,PHM_mean,2.3525409848522005,1.7050766265711108,3.132678449046047,0.36561295043322206,400
poly2_ridge_current,MAE,9.55432301951047,8.445446771764987,10.664932469466354,0.5834521683682077,400
poly2_ridge_current,RMSE,14.094293925127552,12.601145219007622,15.659512341981989,0.7865480487861921,400
poly2_ridge_current,PHM_mean,5.18828181518831,2.7462457846913746,8.962003853545657,1.6290221397052527,400
ridge_current,MAE,11.268985609701165,9.903174190164432,12.620953989765084,0.6884066382792725,400
ridge_current,RMSE,16.432357992446523,14.842805373970881,18.06727526144473,0.7964453091714705,400
ridge_current,PHM_mean,5.613001392171044,3.842323136320002,7.930492467927945,1.1032722629567193,400
