alert_source,n_engines_at_risk,miss_rate,mean_lead_time,median_lead_time,mean_late_delay,mean_early_burden,cost_component_miss,cost_component_late,cost_component_early,avg_cost_per_engine,false_alert_rate_per_healthy_cycle
classifier_h20,14,0.0,24.785714285714285,25.0,0.21428571428571427,5.0,0.0,1.0714285714285714,5.0,6.071428571428571,0.007162801991016147
classifier_h30,14,0.0,34.5,33.5,0.0,14.5,0.0,0.0,14.5,14.5,0.01948524948403545
decision_policy_INSPECT_or_STOP,14,0.0,52.785714285714285,52.0,0.0,32.785714285714285,0.0,0.0,32.785714285714285,32.785714285714285,0.050078912225324755
decision_policy_STOP,14,0.14285714285714285,17.0,18.5,2.9285714285714284,0.35714285714285715,28.57142857142857,14.642857142857142,0.35714285714285715,43.57142857142857,0.0010926308121889036
anomaly_lof,14,0.21428571428571427,38.72727272727273,38.0,0.2857142857142857,15.0,42.857142857142854,1.4285714285714284,15.0,59.285714285714285,0.019303144348670632
classifier_h10,14,0.6428571428571429,11.6,11.0,3.0,0.0,128.57142857142858,15.0,0.0,143.57142857142858,0.00012140342357654485
