cap,selected,n_eval_rows,eval_region,MAE_near,RMSE_near,R2_near,PHM_score_total_near,PHM_score_mean_near,bias_mean_error_near,late_fraction_near,frac_val_rows_on_the_cap
60,False,930,"true RUL <= 30, uncapped truth",6.191398999729025,7.457349381587053,0.30484925251178985,972.8429487711926,1.0460676868507448,5.50957970640701,0.8440860215053764,0.739733950260266
70,False,930,"true RUL <= 30, uncapped truth",6.652400380787797,8.051486595942743,0.18966954494192934,1084.450646538434,1.1660759640198215,5.511419473886691,0.7860215053763441,0.6963562753036437
80,False,930,"true RUL <= 30, uncapped truth",7.084803034132575,8.654692231012366,0.06370377983067765,1204.3901397512025,1.2950431610227984,5.318336699594436,0.7301075268817204,0.6529786003470214
90,False,930,"true RUL <= 30, uncapped truth",7.5375035572952225,9.300381815843203,-0.08121377400583629,1347.228110290116,1.4486323766560387,5.00150903610129,0.667741935483871,0.6096009253903991
110,False,930,"true RUL <= 30, uncapped truth",8.485795638546815,10.695003761935661,-0.4297888183477241,1741.533074444218,1.8726162090798044,4.263170055342578,0.5720430107526882,0.5228455754771544
125,True,930,"true RUL <= 30, uncapped truth",9.046251949762057,11.702927169168621,-0.7119813040858134,2168.363887637882,2.3315740727289054,3.7985248306994865,0.5440860215053763,0.45777906304222094
130,False,930,"true RUL <= 30, uncapped truth",9.208035911111192,12.012306041875858,-0.8036937055460909,2338.856762594515,2.514899744725285,3.6568285416823088,0.5268817204301075,0.43609022556390975
150,False,930,"true RUL <= 30, uncapped truth",9.91033006629473,13.237401301273456,-1.1903599151369524,3220.589580581379,3.462999549012235,3.1901422428554933,0.49032258064516127,0.34976865240023136
