detector,alert_threshold_val_percentile,mean_norm_score_RUL>100,mean_norm_score_RUL<=30,separation,miss_rate,mean_lead_time,median_lead_time,false_alert_rate_per_healthy_cycle,avg_cost_per_engine,n_engines_at_risk
isolation_forest,0.925,0.32443266394026826,0.7433322315998223,0.41889956765955405,0.5625,26.0,20.0,0.010637477838587836,121.875,16
ocsvm,0.9,0.30492372339614926,0.7858572153369725,0.48093349194082324,0.5625,25.0,24.0,0.0068604023741617205,124.8125,16
lof,0.9,0.3184490375062296,0.7778799980631946,0.45943096055696503,0.625,28.166666666666668,29.5,0.007168735065135281,135.1875,16
pca_recon,0.925,0.3905929868786094,0.6922142527825789,0.3016212659039695,0.625,74.5,36.5,0.014799969166730903,146.5625,16
