variant,brier,ECE,mean_pred,base_rate,horizon,model
uncalibrated,0.02644193827594267,0.0334290789391836,0.0910911442895243,0.05766206535034073,10,logreg_current
calibrated,0.011496270457096901,0.0,0.05766206535034073,0.05766206535034073,10,logreg_current
uncalibrated,0.009716008676451756,0.00616660025038196,0.06382866560072269,0.05766206535034073,10,logreg_window
calibrated,0.006912210614923353,3.491877414512112e-19,0.05766206535034073,0.05766206535034073,10,logreg_window
uncalibrated,0.009476907973955256,0.00331714919042248,0.0545600813624379,0.05766206535034073,10,hgb_window
calibrated,0.00761939452739554,1.5713448365304504e-18,0.05766206535034073,0.05766206535034073,10,hgb_window
uncalibrated,0.031161337811678732,0.041546627519199124,0.15162875227894054,0.1100821247597414,20,logreg_current
calibrated,0.017204978332869478,0.0,0.1100821247597414,0.1100821247597414,20,logreg_current
uncalibrated,0.011412510690749124,0.0050107485677609725,0.11509287332750238,0.1100821247597414,20,logreg_window
calibrated,0.009350555697745514,0.0,0.1100821247597414,0.1100821247597414,20,logreg_window
uncalibrated,0.012181566271098327,0.008654743523930173,0.10325394000978486,0.1100821247597414,20,hgb_window
calibrated,0.009814220590698164,0.0,0.1100821247597414,0.1100821247597414,20,hgb_window
uncalibrated,0.03900501202549112,0.04748680430091418,0.20998898847005626,0.16250218416914206,30,logreg_current
calibrated,0.02694542274182193,0.0,0.16250218416914206,0.16250218416914206,30,logreg_current
uncalibrated,0.013956347885163584,0.010332743635150257,0.17234882892780387,0.16250218416914206,30,logreg_window
calibrated,0.011544185103914867,0.0,0.16250218416914206,0.16250218416914206,30,logreg_window
uncalibrated,0.017436001476161225,0.00505432487125713,0.1575224486837133,0.16250218416914206,30,hgb_window
calibrated,0.015423773720062973,0.0,0.16250218416914206,0.16250218416914206,30,hgb_window
