cap,selected,n_eval_rows,eval_region,MAE_near,RMSE_near,R2_near,PHM_score_total_near,PHM_score_mean_near,bias_mean_error_near,late_fraction_near,frac_val_rows_on_the_cap
60,False,930,"true RUL <= 30, uncapped truth",6.8310393287225235,8.289955377378552,0.14095799801340525,1110.7121252313316,1.1943141131519694,5.302174642396746,0.7655913978494624,0.685479643543596
70,False,930,"true RUL <= 30, uncapped truth",7.644870461363955,9.221358125048395,-0.0629180708799506,1319.9709382500087,1.4193235895161382,5.568216711231743,0.7279569892473118,0.6330595841341954
80,False,930,"true RUL <= 30, uncapped truth",8.376230234916349,10.12022488297921,-0.2802368960258945,1552.6718907774111,1.6695396675025926,5.71700962893358,0.689247311827957,0.5806395247247947
90,False,930,"true RUL <= 30, uncapped truth",8.971205896951133,10.970398113022572,-0.5043704344776154,1815.209320142078,1.9518379786473956,5.826399188873118,0.6666666666666666,0.528219465315394
110,False,930,"true RUL <= 30, uncapped truth",10.000766191676252,12.58722547713241,-0.9804780651521405,2500.5201726942573,2.688731368488449,5.968871027069759,0.6258064516129033,0.4233793464965927
125,False,930,"true RUL <= 30, uncapped truth",10.730187448280157,13.747538012026615,-1.3624350174014581,3220.862935931419,3.4632934794961496,6.058225872073373,0.6,0.3447492573824917
130,True,930,"true RUL <= 30, uncapped truth",10.990980547043856,14.138091978101679,-1.498570559765788,3512.4850906154884,3.7768656888338583,6.091661734555462,0.5913978494623656,0.31853922767779136
150,False,930,"true RUL <= 30, uncapped truth",12.120715176330338,15.76069491386629,-2.104993802099634,4979.572262539194,5.354378776923864,6.301909058526554,0.5645161290322581,0.21649484536082475
