region,true_RUL_range,n_rows,MAE,RMSE,R2,PHM_score_total,PHM_score_mean,bias_mean_error,late_fraction
near-failure,"[0, 30)",307,3.38783684041315,4.510182241202386,0.3984666597605525,137.2945043633825,0.4472133692618322,1.7018760369290082,0.6482084690553745
mid-life,"[30, 80)",1728,11.285598271300138,15.071964770962321,-0.13080648483604795,9093.728974784606,5.262574638185536,9.003184530896721,0.7806712962962963
early-life,"[80, inf)",11061,7.867934192179213,11.850418183519208,0.17982535603983174,21902.127490576793,1.9801218235762403,-3.2008764296816694,0.18813850465599855
