model,metric,point,ci_low,ci_high,boot_std,n_boot
hgb_window,MAE,8.213866816013114,7.295643659402616,9.14867905064624,0.4671279272162163,400
hgb_window,RMSE,12.209068282609211,10.920232504810958,13.424590008743829,0.6200887421380638,400
hgb_window,PHM_mean,2.377302303735857,1.807503962802937,3.0862675418867425,0.3130272196033678,400
gbr_window,MAE,8.292692340152987,7.487497930530463,9.182011646553645,0.42281488787719423,400
gbr_window,RMSE,12.114895186111559,10.976238930557447,13.300639581310884,0.5831801807843251,400
gbr_window,PHM_mean,2.5156367940828,1.8918860872644538,3.296192786896088,0.36683195142182723,400
rf_window,MAE,9.494292387691239,8.503061078838419,10.50613079120175,0.5123112406040582,400
rf_window,RMSE,13.056477604856935,11.700299542979808,14.417814810291976,0.7127521293215253,400
rf_window,PHM_mean,2.88460271253054,2.0395581252944885,4.075303853889569,0.48923177575583066,400
rf_current,MAE,10.880762605659328,9.337877976031345,12.602186923968654,0.8252638328907957,400
rf_current,RMSE,16.698048446356207,14.233439357324254,19.226315222559027,1.229935625420953,400
rf_current,PHM_mean,6.763070136571071,3.9168724692466848,10.902823619853573,1.707657033341786,400
ridge_window,MAE,11.230813342269835,10.089800152498244,12.372321671776932,0.5575941276858173,400
ridge_window,RMSE,15.378445308217662,14.12979157504576,16.574558126906318,0.6301898003568194,400
ridge_window,PHM_mean,3.6409126120137234,2.8730890325870417,4.508623417892425,0.42965150722680484,400
poly2_ridge_current,MAE,12.817214916586934,11.24481335534214,14.515658877853573,0.86622171917899,400
poly2_ridge_current,RMSE,18.082166454730253,15.759634756190547,20.64575050380191,1.2672121220898263,400
poly2_ridge_current,PHM_mean,11.422674681394081,4.4942635981787955,21.76603440189417,4.268614262800476,400
ridge_current,MAE,13.847287488781296,12.099422455890604,15.7048571135386,0.9341525500671094,400
ridge_current,RMSE,19.23723128848525,16.908233078496245,21.717110964554102,1.2472985793670754,400
ridge_current,PHM_mean,8.884891690432577,4.931957303316949,14.40943767528923,2.383636932582953,400
